PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"12640051","False localising signs","Larner AJ.","J Neurol Neurosurg Psychiatry. 2003 Apr;74(4):415-8. doi: 10.1136/jnnp.74.4.415.","Larner AJ","J Neurol Neurosurg Psychiatry","2003","2003/03/18","PMC1738389","","10.1136/jnnp.74.4.415"
"30725793","Uncal Herniation","Hall WA, Munakomi S.","2026 Mar 6. In: StatPearls [Internet]. Treasure Island (FL): StatPearls Publishing; 2026 Jan–.","Hall WAMunakomi S","StatPearls","2026","2026/03/06","","",""
"17183979","Cerebral venous thrombosis--clinical presentations","Mehndiratta MM, Garg S, Gurnani M.","J Pak Med Assoc. 2006 Nov;56(11):513-6.","Mehndiratta MM","J Pak Med Assoc","2006","2006/12/23","","",""
"8484169","Peripapillary hemorrhage","Winterkorn JM.","Surv Ophthalmol. 1993 Mar-Apr;37(5):362-72. doi: 10.1016/0039-6257(93)90066-g.","Winterkorn JM","Surv Ophthalmol","1993","1993/03/01","","","10.1016/0039-6257(93)90066-g"
"34397012","Kernohan-Woltman phenomenon: A false localizing sign","Bhoil R, Ahluwalia AK, Surya M, Bhoil S.","Natl Med J India. 2021 Jan-Feb;34(1):56. doi: 10.4103/0970-258X.323452.","Bhoil R","Natl Med J India","2021","2021/08/16","","","10.4103/0970-258X.323452"
"12441839","False and non-localizing signs in neuro-ophthalmology","Lepore FE.","Curr Opin Ophthalmol. 2002 Dec;13(6):371-4. doi: 10.1097/00055735-200212000-00005.","Lepore FE","Curr Opin Ophthalmol","2002","2002/11/21","","","10.1097/00055735-200212000-00005"
"32924623","Chameleons, red herrings, and false localizing signs in neurocritical care","Li B, Sursal T, Bowers C, Cole C, Gandhi C, Schmidt M, Mayer S, Al-Mufti F.","Br J Neurosurg. 2022 Jun;36(3):298-306. doi: 10.1080/02688697.2020.1820945. Epub 2020 Sep 14.","Li B","Br J Neurosurg","2022","2020/09/14","","","10.1080/02688697.2020.1820945"
"33347647","Pyramidal weakness: Is it time to retire the term?","Castle-Kirszbaum M, Goldschlager T.","Clin Anat. 2021 Apr;34(3):478-482. doi: 10.1002/ca.23715. Epub 2020 Dec 31.","Castle-Kirszbaum M","Clin Anat","2021","2020/12/21","","","10.1002/ca.23715"
"27781487","Kernohan-Woltman notch phenomenon: a review article","Zhang CH, DeSouza RM, Kho JS, Vundavalli S, Critchley G.","Br J Neurosurg. 2017 Apr;31(2):159-166. doi: 10.1080/02688697.2016.1211250. Epub 2016 Oct 26.","Zhang CH","Br J Neurosurg","2017","2016/10/27","","","10.1080/02688697.2016.1211250"
"38173285","Parkinsonism after uncal herniation-an overlooked false localizing sign?","Buijink AWG, de Vries S, Schuurman PR, van Iperen A, Dijk JM.","Mov Disord Clin Pract. 2024 Aug;11 Suppl 2(Suppl 2):S30-S32. doi: 10.1002/mdc3.13964. Epub 2024 Jan 3.","Buijink AWG","Mov Disord Clin Pract","2024","2024/01/04","PMC11322587","","10.1002/mdc3.13964"
"34621136","Neuro-Ophthalmic Complications of Vestibular Schwannoma Resection: Current Perspectives","Chiu SJ, Hickman SJ, Pepper IM, Tan JHY, Yianni J, Jefferis JM.","Eye Brain. 2021 Oct 1;13:241-253. doi: 10.2147/EB.S272326. eCollection 2021.","Chiu SJ","Eye Brain","2021","2021/10/08","PMC8491867","","10.2147/EB.S272326"
"36396093","Kernohan-Woltman notch phenomenon: an exceptional neurological picture?","Carrasco Moro R, Pascual Garvi JM, Vior Fernández C, Espinosa Rodríguez EE, Martín Palomeque G, Cabañes Martínez L, López Gutiérrez M, Acitores Cancela A, Barrero Ruiz E, Martínez San Millán JS.","Neurologia (Engl Ed). 2024 Oct;39(8):683-693. doi: 10.1016/j.nrleng.2022.09.010. Epub 2022 Nov 14.","Carrasco Moro R","Neurologia (Engl Ed)","2024","2022/11/17","","","10.1016/j.nrleng.2022.09.010"
"41881567","Evaluation of the C1-C2 False Localizing Sign in Spontaneous Intracranial Hypotension: Prevalence and Clinical Insights","Madhavan AA, Kranz PG, Kodet ML, Weant EH, Malinzak MD, Willhite J, Gray L, Amrhein TJ.","AJNR Am J Neuroradiol. 2026 Mar 25:ajnr.A9309. doi: 10.3174/ajnr.A9309. Online ahead of print.","Madhavan AA","AJNR Am J Neuroradiol","2026","2026/03/25","","","10.3174/ajnr.A9309"
"37815739","Syndrome of the third frontal convolution: Léon Ectors´ legacy on paradoxical ipsilateral hemiparesis","Carrasco-Moro R, Martínez-San Millán JS, Pérez-Pérez M, Pascual JM.","Acta Neurol Belg. 2024 Feb;124(1):37-48. doi: 10.1007/s13760-023-02394-9. Epub 2023 Oct 10.","Carrasco-Moro R","Acta Neurol Belg","2024","2023/10/10","","","10.1007/s13760-023-02394-9"
"37610638","The Kinetics of Transtentorial Brain Herniation: Kernohan-Woltman Notch Phenomenon Revisited","Roy D, Chakravarty A.","Curr Neurol Neurosci Rep. 2023 Oct;23(10):571-580. doi: 10.1007/s11910-023-01295-x. Epub 2023 Aug 23.","Roy D","Curr Neurol Neurosci Rep","2023","2023/08/23","","","10.1007/s11910-023-01295-x"
"36907707","Beyond uncal herniation: An updated diagnostic reappraisal of ipsilateral hemiparesis and the Kernohan-Woltman notch phenomenon","Carrasco-Moro R, Martínez-San Millán JS, Pascual JM.","Rev Neurol (Paris). 2023 Oct;179(8):844-865. doi: 10.1016/j.neurol.2022.11.015. Epub 2023 Mar 10.","Carrasco-Moro R","Rev Neurol (Paris)","2023","2023/03/12","","","10.1016/j.neurol.2022.11.015"
