name_en,article_count
ST36,96
Zusanli,86
Sanli,86
ST2,25
Baihui,24
GV20,20
SP6,18
Neiguan,17
PC6,17
Guanyuan,16
Sanyinjiao,15
CV4,15
BL2,13
GB3,12
GB34,11
ST25,11
GV1,11
Shenshu,10
BL23,10
LR3,10
Tianshu,9
ST4,8
Dazhui,8
Dazhu,8
GV26,7
Yanglingquan,7
Taichong,7
GV14,7
ST40,6
Shuigou,6
BL6,6
Fenglong,5
Hegu,5
BL1,4
Quchi,4
LI1,4
CV6,4
Fengchi,4
LI11,3
Ganshu,3
Zhibian,3
BL54,3
BL5,3
Pishu,3
BL20,3
LI4,3
GB20,3
GB2,3
BL60,3
BL18,2
Yintang,2
Qihai,2
BL4,2
Feishu,1
BL13,1
Mingmen,1
GV4,1
Sibai,1
Jingming,1
BL21,1
Ermen,1
LI15,1
Jianyu,1
BL25,1
Ciliao,1
BL32,1
BL3,1
Kunlun,1
