"compound.lower","herb_en_name","herb_cn_name","herb_pinyin","Mol.ID","Mol.ID2","Compound.EN","OB...","MW","DL","CID","InChIKey","Name","Bestname","CanonicalSMILES","XLogP","superclass","class","subclass","KEGGID","Keggid","HMDBID","MolecularFormula","Synonym.separate","entrez_gene_symbol"
".gamma.-bisabolene","Curcumae Rhizoma","莪术","Ezhu","MOL000933","TCMol07345",".gamma.-Bisabolene","20.7759073551","204.390","0.055344",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"(-)-alpha-cedrene","Paeoniae Radix Alba","白芍","Baishao","MOL000612","TCMol01199","(-)-alpha-cedrene","55.56099313","204.390","0.10498","6431015","IRAQOCYXUMOFCW-OSFYFWSMSA-N","(-)-alpha-cedrene;(1S,2R,5S,7S)-2,6,6,8-tetramethyltricyclo[5.3.1.0¹,⁵]undec-8-ene;alpha-Cedrene;Alpha-Cedrene;cedr-8-ene;Cedr-8-ene;cedrene;Cedrene","Alpha-Cedrene","CC1CCC2C13CC=C(C(C3)C2(C)C)C",4.6,NA,NA,NA,"C22909",NA,NA,"C15H24","(-)-alpha-cedrene","ADH1A;ADH1B;ADH1C;DLG4;ETFDH;ALDH2;GPD1L;GAMT;GATM;GPD1;GPD2;KCNA1;KCNA2;KCNA3;KCNA4;KCNA5;KCNA6;KCNA7;KCNA10;KCNB1;KCNC1;KCNC2;KCNC3;KCND1;KCND2;KCND3;PAX2;KCNK4;ZDHHC2;PRKAB1;RNASE1;TPO;CAT;AIFM2;KCNB2"
"(-)-alpha-pinene","Angelicae Sinensis Radix","当归","Danggui","MOL000125","TCMol06034","(-)-alpha-Pinene","46.2498150113","136.260","0.052565","440968","GRWFGVWFFZKLTI-IUCAKERBSA-N","(-)-alpha-Pinene;(1S,5S)-2,6,6-trimethylbicyclo[3.1.1]hept-2-ene;(1S)-(-)-Alpha-Pinene","(-)-alpha-Pinene","CC1=CCC2CC1C2(C)C",2.8,NA,NA,NA,"C06308",NA,NA,NA,"(-)-alpha-Pinene","NFKB1;ADH1A;ADH1B;ADH1C;DLG4;ETFDH;ALDH2;GPD1L;GAMT;GATM;GPD1;GPD2;KCNA1;KCNA2;KCNA3;KCNA4;KCNA5;KCNA6;KCNA7;KCNA10;KCNB1;KCNC1;KCNC2;KCNC3;KCND1;KCND2;KCND3;PAX2;KCNK4;ZDHHC2;PRKAB1;RNASE1;TPO;CAT;AIFM2;KCNB2"
"(-)-alpha-pinene","Radix Bupleuri","柴胡","Chaihu","MOL000125","TCMol03893","(-)-alpha-Pinene","46.2498150113","136.260","0.052565","440968","GRWFGVWFFZKLTI-IUCAKERBSA-N","(-)-alpha-Pinene;(1S,5S)-2,6,6-trimethylbicyclo[3.1.1]hept-2-ene;(1S)-(-)-Alpha-Pinene","(-)-alpha-Pinene","CC1=CCC2CC1C2(C)C",2.8,NA,NA,NA,"C06308",NA,NA,NA,"(-)-alpha-Pinene","NFKB1;ADH1A;ADH1B;ADH1C;DLG4;ETFDH;ALDH2;GPD1L;GAMT;GATM;GPD1;GPD2;KCNA1;KCNA2;KCNA3;KCNA4;KCNA5;KCNA6;KCNA7;KCNA10;KCNB1;KCNC1;KCNC2;KCNC3;KCND1;KCND2;KCND3;PAX2;KCNK4;ZDHHC2;PRKAB1;RNASE1;TPO;CAT;AIFM2;KCNB2"
"(-)-alpha-pinene","Citri Reticulatae Pericarpium Viride","青皮","Qingpi","MOL000125","TCMol22240","(-)-alpha-Pinene","46.2498150113","136.260","0.052565","440968","GRWFGVWFFZKLTI-IUCAKERBSA-N","(-)-alpha-Pinene;(1S,5S)-2,6,6-trimethylbicyclo[3.1.1]hept-2-ene;(1S)-(-)-Alpha-Pinene","(-)-alpha-Pinene","CC1=CCC2CC1C2(C)C",2.8,NA,NA,NA,"C06308",NA,NA,NA,"(-)-alpha-Pinene","NFKB1;ADH1A;ADH1B;ADH1C;DLG4;ETFDH;ALDH2;GPD1L;GAMT;GATM;GPD1;GPD2;KCNA1;KCNA2;KCNA3;KCNA4;KCNA5;KCNA6;KCNA7;KCNA10;KCNB1;KCNC1;KCNC2;KCNC3;KCND1;KCND2;KCND3;PAX2;KCNK4;ZDHHC2;PRKAB1;RNASE1;TPO;CAT;AIFM2;KCNB2"
"(-)-beta-fenchol","Radix Bupleuri","柴胡","Chaihu","MOL007553","TCMol03941","(-)-beta-Fenchol","79.2410095645","154.280","0.050454","61123","IAIHUHQCLTYTSF-WEDXCCLWSA-N","(-)-beta-Fenchol","(-)-beta-Fenchol","CC1(C2CCC(C2)(C1O)C)C",2.5,"Lipids and lipid-like molecules","Prenol lipids","Monoterpenoids",NA,NA,NA,NA,"(-)-beta-Fenchol","TRPV3;NEFL;OPRK1;KCNK4;TACR2;CACNA1A;CACNA1C;CACNA1D;CACNA1F;CACNA1S;CACNB1;CACNB2;CACNB3;CACNB4;TRPM8;CACNA1G;TRPA1"
"(-)-beta-fenchol","Radix Bupleuri","柴胡","Chaihu","MOL007553","TCMol03941","(-)-beta-Fenchol","79.2410095645","154.280","0.050454","61123","IAIHUHQCLTYTSF-WEDXCCLWSA-N","(-)-beta-Fenchol","(-)-beta-Fenchol","CC1(C2CCC(C2)(C1O)C)C",2.5,"Lipids and lipid-like molecules","Prenol lipids","Monoterpenoids",NA,NA,NA,NA," (-)-beta-Fenchol","TRPV3;NEFL;OPRK1;KCNK4;TACR2;CACNA1A;CACNA1C;CACNA1D;CACNA1F;CACNA1S;CACNB1;CACNB2;CACNB3;CACNB4;TRPM8;CACNA1G;TRPA1"
"(-)-beta-fenchol","Radix Bupleuri","柴胡","Chaihu","MOL007553","TCMol03941","(-)-beta-Fenchol","79.2410095645","154.280","0.050454","23617547","IAIHUHQCLTYTSF-KTOWXAHTSA-N","(-)-beta-Fenchol","(-)-beta-Fenchol","CC1(C2CCC(C2)(C1O)C)C",2.5,NA,NA,NA,NA,NA,NA,NA,"(-)-beta-Fenchol",NA
"(-)-catechin","Dioscoreaebulbiferae","黄药子","Huangyaozi","MOL000096","TCMol12299","(-)-catechin","49.6763868","290.290","0.24162","73160","PFTAWBLQPZVEMU-HIFRSBDPSA-N","(-)-catechin;(-)-Catechin","(-)-Catechin","C1C(C(OC2=CC(=CC(=C21)O)O)C3=CC(=C(C=C3)O)O)O",0.4,NA,NA,NA,"C14079",NA,NA,NA,"(-)-Catechin","PTGS1;ZWF1;PGD;MGAM2;NEU2"
"(-)-catechin","Dioscoreaebulbiferae","黄药子","Huangyaozi","MOL000096","TCMol12299","(-)-catechin","49.6763868","290.290","0.24162","73160","PFTAWBLQPZVEMU-HIFRSBDPSA-N","(-)-catechin;(-)-Catechin","(-)-Catechin","C1C(C(OC2=CC(=CC(=C21)O)O)C3=CC(=C(C=C3)O)O)O",0.4,NA,NA,NA,"C14079",NA,NA,NA,"(-)-catechin","PTGS1;ZWF1;PGD;MGAM2;NEU2"
