"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Human Diseases","Cardiovascular disease","hsa05417","Lipid and atherosclerosis","87/723","216/8848",0.402777777777778,4.92915321960965,17.4391615926989,9.7858370510167e-40,3.18039704158043e-37,9.99185467314336e-38,"7157/5290/7124/207/3569/355/6774/596/5468/356/3553/6714/841/4790/5594/3576/4318/581/836/5295/8795/3725/3383/5970/3717/6347/4792/4780/598/959/2932/3320/5747/5595/7099/1432/7097/5599/5293/4312/6256/5578/842/7412/5879/4067/2353/5291/3309/4314/6401/948/5602/114548/3308/6416/4846/3949/1649/7494/1147/2919/335/1543/19/834/840/6257/6403/3329/4217/29110/1548/468/1965/6258/653361/1559/2920/1555/7436/1558/801/23643/337/815/816",87
"Human Diseases","Endocrine and metabolic disease","hsa04933","AGE-RAGE signaling pathway in diabetic complications","54/723","101/8848",0.534653465346535,6.54303438642619,16.7122211459072,1.1567675830041e-32,1.87974732238167e-30,5.9056029237578e-31,"5290/7124/207/595/3569/6774/596/7040/7422/3553/1019/6772/4790/5594/3576/581/4313/836/5295/3725/3383/5970/3552/3717/6347/2335/5595/1432/1277/4088/5599/5580/5293/5054/1906/5578/7412/5879/5291/2152/7056/6777/6401/5602/1958/4846/6776/5292/50507/5579/5590/5581/183/185",54
"Human Diseases","Cardiovascular disease","hsa05418","Fluid shear stress and atherosclerosis","62/723","141/8848",0.439716312056738,5.38120322140804,15.6431482050538,4.62996058101566e-31,5.01579062943363e-29,1.57581114511761e-29,"7157/5290/7124/207/1499/3458/596/7422/3553/6714/4790/4318/3791/4313/5295/3725/3383/5970/3552/6347/4780/3320/5747/9817/1432/857/5599/5293/1906/7412/5879/2353/2950/5291/5327/7056/2944/6401/5602/1728/6416/2952/4846/1514/3685/3162/1147/3690/5175/7295/4217/5562/5590/659/5563/653361/2947/801/2938/2946/2939/653689",62
"Human Diseases","Cancer: specific types","hsa05215","Prostate cancer","49/723","98/8848",0.5,6.11894882434301,15.2000591016171,6.02271536087704e-28,4.89345623071259e-26,1.53737734211861e-26,"7157/5728/5290/207/1499/1956/4193/2064/5925/595/1026/2260/596/2475/367/5604/4790/5594/5894/3480/4318/1950/5295/3630/5970/1387/4792/2932/3320/5595/1385/1017/898/6935/5293/842/1869/2078/5328/2950/5291/5327/4314/51176/1147/4824/6716/1870/468",49
"Human Diseases","Infectious disease: viral","hsa05161","Hepatitis B","61/723","163/8848",0.374233128834356,4.57982672742238,13.7602515882497,6.23157000672784e-26,4.0505205043731e-24,1.27255219084758e-24,"7157/5290/7124/207/5925/3569/355/4609/1026/6774/596/7040/356/6714/5604/6772/841/4790/5594/5894/3576/4318/581/836/5295/3725/5970/1387/3717/4792/5595/7099/1432/1385/1017/7097/5111/898/4088/5599/5293/5578/842/1869/2353/5291/6777/5602/3718/6416/1147/6776/2185/6775/5579/29110/1386/1870/468/2002/7534",61
"Human Diseases","Cancer: overview","hsa05208","Chemical carcinogenesis - reactive oxygen species","72/723","226/8848",0.31858407079646,3.89879925090882,13.168121595305,1.90181863604097e-25,9.95529439418046e-24,3.12765524286803e-24,"5728/5290/207/1956/4233/3091/7422/6714/5604/4790/5594/5894/5781/1950/5295/3725/3082/5970/4792/4780/5747/5595/9817/1432/5599/5580/5293/5879/2353/5291/2944/5602/6647/1728/6416/2952/1545/196/3162/1147/1543/847/50507/4217/52/9377/5770/1544/1571/8644/653361/4025/5338/2947/2053/10327/5337/2938/873/1327/1646/2946/7384/1340/1329/1345/2939/1346/1351/1350/1349/653689",72
"Human Diseases","Cancer: overview","hsa05207","Chemical carcinogenesis - receptor activation","70/723","215/8848",0.325581395348837,3.98443179259545,13.2146448198984,2.14421725413118e-25,9.95529439418046e-24,3.12765524286803e-24,"5290/207/1956/5925/595/2099/4609/6774/596/2475/7422/367/6714/5604/4790/5594/5894/2100/1950/5295/3725/5970/3717/2247/3320/5595/1385/5293/7421/6256/5578/1869/331/6198/2353/5291/2944/6777/2952/5465/1576/1545/196/6776/1543/6257/5579/1386/54658/468/6258/1544/9970/773/779/1555/6197/2947/776/775/1139/2053/2938/54600/774/54659/2946/2939/89832/653689",70
"Human Diseases","Endocrine and metabolic disease","hsa04936","Alcoholic liver disease","56/723","144/8848",0.388888888888889,4.75918241893346,13.5665894680312,7.36216784270045e-25,2.99088068609706e-23,9.39645106239399e-24,"7124/207/1499/595/3569/355/356/3553/841/4790/3576/836/5970/4792/3605/2932/7099/1432/9370/5599/23411/2194/5602/6416/5465/51176/1147/10891/2919/718/6720/50507/4217/29110/5562/5563/23765/1571/223/720/1374/6319/5564/217/2920/713/717/714/128/23643/727/721/126/1375/125/100293534",56
"Organismal Systems","Immune system","hsa04657","IL-17 signaling pathway","45/723","95/8848",0.473684210526316,5.7968988862197,14.0216583178081,1.75290085845159e-24,6.32991976663074e-23,1.98867114935443e-23,"7124/3569/3458/3553/841/4790/5594/3576/4318/3565/836/5743/3725/5970/6347/4792/3605/2932/3320/5595/1432/1437/3627/1440/5599/4312/2353/4314/3567/5602/4322/1147/2919/1994/4586/3934/6279/6280/29110/1051/3727/23765/8061/6278/2920",45
"Environmental Information Processing","Signal transduction","hsa04066","HIF-1 signaling pathway","48/723","109/8848",0.440366972477064,5.38916593703605,13.7537098087649,2.74500737800729e-24,8.11024907138517e-23,2.54799727910724e-23,"5290/207/1956/2064/3569/3458/1026/6774/596/2475/3091/7422/5604/4790/5594/3480/1950/5295/3630/5970/1387/3643/5595/7099/6513/4843/5293/5054/1906/5578/2597/6198/5291/2023/7037/7018/4846/3162/54583/3939/1977/5579/3099/226/8569/815/2872/816",48
"Human Diseases","Endocrine and metabolic disease","hsa04931","Insulin resistance","48/723","109/8848",0.440366972477064,5.38916593703605,13.7537098087649,2.74500737800729e-24,8.11024907138517e-23,2.54799727910724e-23,"5728/5290/7124/207/3569/6774/2475/4790/5781/5295/3630/5970/4792/3643/2932/6513/1385/7376/5599/5580/5293/6198/5291/948/5602/4846/5465/10891/6720/5579/51085/6517/6514/5562/5590/5581/183/5563/5770/5837/5792/1374/5836/10062/5564/6197/1375/200186",48
"Human Diseases","Cancer: specific types","hsa05223","Non-small cell lung cancer","39/723","73/8848",0.534246575342466,6.53805490820213,14.1726349925679,7.40625626978617e-24,2.00586107306709e-22,6.30181454534437e-23,"7157/5979/5290/207/1029/1956/2064/5925/4233/595/238/1026/6774/1019/5604/5594/5894/1950/581/5295/3082/11186/1021/5595/5915/5293/6256/5578/842/1869/5291/6777/3718/6776/6789/6257/5579/1870/6258",39
"Human Diseases","Cancer: specific types","hsa05212","Pancreatic cancer","39/723","77/8848",0.506493506493506,6.19841569219163,13.6661848120448,9.90373710291535e-23,2.47593427572884e-21,7.77864371645983e-22,"7157/5290/207/1029/1956/2064/5925/595/1026/6774/7040/2475/7422/1019/5604/6772/4790/5594/5894/1950/581/5295/5970/1021/598/5595/4088/5599/5293/842/1869/5879/6198/5291/5602/1147/1870/5338/5337",39
"Human Diseases","Infectious disease: viral","hsa05167","Kaposi sarcoma-associated herpesvirus infection","63/723","196/8848",0.321428571428571,3.93360995850622,12.388753988782,1.35789273531449e-22,3.15225099269435e-21,9.90342821996281e-22,"7157/5290/207/1499/5925/595/3569/355/4609/1026/6774/2475/3091/7422/1019/6714/5604/6772/841/4790/5594/5894/3576/581/836/5295/5743/5294/3725/3383/5970/1387/3717/2247/4792/1021/2932/5595/1432/1437/1385/5599/5293/842/1869/5879/4067/2353/5291/6850/5602/942/6416/51176/1147/2919/718/29110/1870/1233/2920/3710/801",63
"Human Diseases","Endocrine and metabolic disease","hsa04932","Non-alcoholic fatty liver disease","55/723","157/8848",0.35031847133758,4.28716159667345,12.3962830235524,7.35306905133936e-22,1.59316496112353e-20,5.00524700336785e-21,"5290/7124/207/3569/355/7040/5468/356/3553/841/4790/3576/581/836/5295/3630/3725/5970/3552/3643/2932/1432/9370/5599/5293/6256/5879/2353/5291/5602/10018/5465/1649/7494/6720/840/4217/51085/5562/468/1965/9377/5563/1571/10062/5564/1327/7384/1340/1329/1345/1346/1351/1350/1349",55
"Environmental Information Processing","Signal transduction","hsa04668","TNF signaling pathway","47/723","119/8848",0.394957983193277,4.83345537385078,12.5584813017226,2.30305125860922e-21,4.67807286904997e-20,1.46971034266509e-20,"5290/7124/207/3569/355/3553/5604/841/4790/5594/4318/836/5295/5743/3725/3383/5970/6347/4792/5595/1432/1437/1385/3627/5599/5293/3659/1906/330/331/7412/2353/5291/4314/6401/5602/329/6416/1147/2919/840/4217/1386/1051/468/2920/3726",47
"Human Diseases","Cancer: overview","hsa05205","Proteoglycans in cancer","62/723","204/8848",0.303921568627451,3.71936105009085,11.721415332175,8.03024615616737e-21,1.53519411809082e-19,4.82311998234201e-20,"7157/5290/7124/207/1499/1956/4193/2064/4233/595/2099/355/4609/1026/406991/6774/2260/7040/2475/356/3091/7422/6714/5604/5594/5894/5781/2065/3480/4318/3791/4313/836/5295/3082/2247/2335/5747/5595/7099/1432/857/7097/1277/5293/5578/7057/5879/5328/6198/5291/7291/1514/3685/3690/7448/5579/5777/2002/3710/815/816",62
"Human Diseases","Cancer: specific types","hsa05219","Bladder cancer","27/723","41/8848",0.658536585365854,8.05910332962251,13.5139698819897,3.17380816329319e-20,5.7304869615016e-19,1.80034732069848e-19,"7157/1029/999/1956/4193/2064/5925/595/4609/1026/7422/1019/6714/5604/5594/5894/3576/4318/1950/4313/11186/5595/4312/1869/7057/1612/1870",27
"Human Diseases","Drug resistance: antineoplastic","hsa01524","Platinum drug resistance","36/723","75/8848",0.48,5.87419087136929,12.6448760464122,4.63298219845373e-20,7.92483797103927e-19,2.48974666620505e-19,"7157/5290/207/672/1029/4193/2064/355/1026/596/356/841/5594/581/836/5295/598/5595/5293/842/330/331/7153/2950/5291/2944/329/2952/4217/1244/540/2947/2938/2946/2939/653689",36
