pmid,title,abstract,year,journal,journal_abbr,authors,full_authors,first_author,affiliations,mesh,other_terms,keywords,publication_types,doi,volume,issue,issn,pages,source_database,wos_id
12640051,False localising signs.,"Neurological signs have been described as ""false localising"" if they reflect dysfunction distant or remote from the expected anatomical locus of pathology, hence challenging the traditional clinicoanatomical correlation paradigm on which neurological examination is based. False localising signs occur in two major contexts: as a consequence of raised intracranial pressure, and with spinal cord lesions. Cranial nerve palsies (especially sixth nerve palsy), hemiparesis, sensory features (such as truncal sensory levels), and muscle atrophy, may all occur as false localising signs. Awareness that signs may be false localising has implications for diagnostic investigation.",2003,"Journal of neurology, neurosurgery, and psychiatry",J Neurol Neurosurg Psychiatry,Larner AJ,"Larner, A J",Larner AJ,"Walton Centre for Neorology and Neurosurgery, Lower Lane, Fazkerley, Liverpool L9 7IJ, UK. a.larner@thewaltoncentre.njs.uk","Diagnosis, Differential; Humans; Nervous System Diseases/*complications/*diagnosis/physiopathology",,"Diagnosis, Differential; Humans; Nervous System Diseases",Journal Article; Review,10.1136/jnnp.74.4.415,74,4,0022-3050 (Print); 1468-330X (Electronic); 0022-3050 (Linking),415-8,PubMed,
30725793,Uncal Herniation.,"Uncal herniation represents a catastrophic manifestation of intracranial hypertension and reflects terminal failure of intracranial compensatory mechanisms (see Image. Brain Herniation). The uncus, which forms the anteromedial aspect of the parahippocampal gyrus within the temporal lobe, resides in the supratentorial compartment of the cranial vault, specifically within the temporal fossa. Inferior to the tentorium cerebelli lies the subtentorial compartment, which communicates with the supratentorial space through the tentorial notch (incisura). Critical neurovascular structures traverse this confined aperture, including the midbrain, cranial nerve III, the posterior cerebral arteries, and the superior cerebellar arteries. The cerebellum occupies the posterior aspect of the notch. When intracranial pressure rises beyond the limits of autoregulatory compliance, brain tissue may shift across rigid dural partitions; uncal herniation occurs when the medial anterior temporal lobe is displaced through the tentorial incisura into the suprasellar cistern. This process constitutes a life-threatening neurological emergency and signifies exhaustion of adaptive intracranial buffering capacity. Uncal herniation is the most common clinically recognizable herniation syndrome. Here, there is a passive horizontal distortion (the mesencephalon is twisted) rather than a vertical displacement of the brain. Clinically, an uncal herniation is characterized by a predictable pattern of neuroanatomic compression, including ipsilateral third nerve palsy, contralateral motor deficits from compression of the cerebral peduncle, and progressive brainstem dysfunction. This condition most commonly arises in the setting of space-occupying lesions, traumatic brain injury, intracranial hemorrhage, or malignant cerebral edema. Rapid recognition is essential, as delays in diagnosis and intervention are associated with irreversible brainstem ischemia and high mortality.  The conceptual evolution of uncal herniation reflects more than a century of clinicopathologic correlation. Jonathan Hutchinson first described unilateral pupillary dilation (Hutchinson pupil), initially attributed to midbrain involvement. Macewen linked pupillary changes to irritation, paralysis, or vascular compromise of the oculomotor nerve, while Bergmann incorrectly localized the phenomenon to the frontal lobe. Ropper later identified acute angulation of the third nerve over the clivus at autopsy. Hill demonstrated transtentorial pressure gradients and tamponade effects at the foramen magnum and tentorial notch in animal models. Adolf Meyer described posterior cerebral artery compression with hemianopia as a false localizing sign. Kernohan and Woltman subsequently reported ipsilateral hemiplegia due to notching of the crus cerebri against the contralateral tentorial margin, now known as the Kernohan–Woltman phenomenon. Jefferson characterized “tentorial and temporal pressure cones,” while Reid and Cone demonstrated hippocampal extrusion compressing the oculomotor nerve in primate studies. McNealy and Plum further delineated central and uncal herniation patterns. Finally, Miller Fisher and Allan Ropper challenged the notion of an active process, emphasizing a passive mechanical distortion with widening of the ischial space of Bichat instead. Together, these observations established the modern understanding of uncal herniation as a biomechanical and vascular consequence of intracranial compartment failure, demanding immediate recognition and intervention in contemporary neurocritical care practice.",2026,,,Hall WA; Munakomi S,"Hall, Walter A; Munakomi, Sunil",Hall WA,SUNY Upstate Medical University | Kathmandu University,,,,Study Guide; Book Chapter,,,,,,PubMed,
17183979,Cerebral venous thrombosis--clinical presentations.,"Cerebral venous thrombosis (CVT) is an under diagnosed condition for acute or slowly progressive neurological deficit. CVT is less frequent than arterial thrombosis. CVT has a wide spectrum of signs and symptoms, which may evolve suddenly or over the weeks. It is clinically challenging and mimics many neurological conditions such as, meningitis, encephalopathy, benign intracranial hypertension, and stroke. With increasing awareness, CVT cases are now being diagnosed more frequently. Newer imaging procedures have led to easier recognition of venous sinus thrombosis, offering the opportunity for early therapeutic measures. It may be difficult to diagnose it on clinical grounds alone. Headache is the most frequent symptom in patients with CVT, present in about 80% of cases. Most common pattern of presentation is with a benign intracranial hypertension-like syndrome. The prognosis of CVT is worse in elderly subjects. The shorter the history the more likely is the presence of focal signs. Sixth cranial nerve palsy usually manifests as false localizing sign. Subarachnoid haemorrhage (SAH) has been described, as the presenting event with CVT. Patients may have seizures that can be recurrent. Cranial nerve syndromes are seen with venous sinus thrombosis. Psychiatric disturbances are sometimes the presenting symptoms. CVT, an important cause of stroke in puerperium, is frequently observed in India. We have seen 6 patients of CVT out of 490 stroke registry. Of these 6, four were females and two were males. The mean age among females was 27.75 years and among males was 41.5 years. Of the 4 females two were postpartum; one was on oral contraceptive and in one Antiphospholipid antibodies (APLA) were positive. Amongst two males one had hyperhomocysteinemia and one had hyperlipidemia.",2006,JPMA. The Journal of the Pakistan Medical Association,J Pak Med Assoc,Mehndiratta MM; Garg S; Gurnani M,"Mehndiratta, Man Mohan; Garg, Siddhartha; Gurnani, Mayank",Mehndiratta MM,"Department of Neurology, G.B. Pant Hospital, New Delhi-110002, India.","Cerebral Veins/*pathology; Humans; Intracranial Thrombosis/*diagnosis; Magnetic Resonance Angiography; Phlebography; Prognosis; Sinus Thrombosis, Intracranial/*diagnosis; Venous Thrombosis/*diagnosis",,"Cerebral Veins; Humans; Intracranial Thrombosis; Magnetic Resonance Angiography; Phlebography; Prognosis; Sinus Thrombosis, Intracranial; Venous Thrombosis",Journal Article; Review,,56,11,0030-9982 (Print); 0030-9982 (Linking),513-6,PubMed,
8484169,Peripapillary hemorrhage.,"On routine examination, a 61-year-old man was found to have a deep peripapillary hemorrhage surrounding his left optic nerve head. Further examination revealed a left sixth nerve paresis, a subtle right homonymous quadrantanopia, and jerky pursuit to the left. The diagnostic work-up was delayed by the patient because of business commitments. He returned confused and obtunded. Neuro-imaging showed a large frontal mass, which turned out to be an anaplastic astrocytoma. Diagnosis of the lesion had been obscured by three false localizing signs. Discussion deals with the definition of Terson's syndrome and the occurrence of peripapillary hemorrhages. Other causes of peripapillary hemorrhages are illustrated.",1993,Survey of ophthalmology,Surv Ophthalmol,Winterkorn JM,"Winterkorn, J M",Winterkorn JM,"Department of Ophthalmology, North Shore University Hospital-Cornell University Medical College, Manhasset, New York.","Astrocytoma/complications/diagnosis; Brain Neoplasms/complications/diagnosis; Cerebral Cortex; Fluorescein Angiography; Fundus Oculi; Humans; Male; Middle Aged; Optic Disk/pathology; Papilledema/diagnosis/*etiology; Retinal Hemorrhage/diagnosis/*etiology; Tomography, X-Ray Computed",,"Astrocytoma; Brain Neoplasms; Cerebral Cortex; Fluorescein Angiography; Fundus Oculi; Humans; Male; Middle Aged; Optic Disk; Papilledema; Retinal Hemorrhage; Tomography, X-Ray Computed",Case Reports; Journal Article,10.1016/0039-6257(93)90066-g,37,5,0039-6257 (Print); 0039-6257 (Linking),362-72,PubMed,
34397012,Kernohan-Woltman phenomenon: A false localizing sign.,,2021,The National medical journal of India,Natl Med J India,Bhoil R; Ahluwalia AK; Surya M; Bhoil S,"Bhoil, Rohit; Ahluwalia, Ajay Kumar; Surya, Mukesh; Bhoil, Sabina",Bhoil R,"Department of Radiodiagnosis, Shri Lal Bahadur Shastri Medical College, Mandi, Himachal Pradesh, India. | Department of Radiodiagnosis, Shri Lal Bahadur Shastri Medical College, Mandi, Himachal Pradesh, India. | Department of Radiodiagnosis, Shri Lal Bahadur Shastri Medical College, Mandi, Himachal Pradesh, India. | Department of Cardiac Anaesthesia, Indira Gandhi Medical College, Shimla, Himachal Pradesh, India.","Humans; *Paresis; *Tomography, X-Ray Computed",,"Humans; Paresis; Tomography, X-Ray Computed",Journal Article,10.4103/0970-258x.323452,34,1,2583-150X (Electronic); 0970-258X (Linking),56,PubMed,
12441839,False and non-localizing signs in neuro-ophthalmology.,"The absolute reliance on abnormal neuro-ophthalmologic findings as signposts for particular lesions of the neuraxis must be tempered by a working knowledge of false and nonlocalizing signs and symptoms. Transient monocular visual loss or complex visual hallucinations may lead to neuroanatomic ambiguity, and elevated intracranial pressure is not the most common cause of swollen optic disks in late life. Sixth nerve palsy associated with increased intracranial pressure is possibly the best-known false localizing sign, but other ocular motility disturbances (divergence paresis, convergence insufficiency, and skew deviation) also elude localization. Lastly, the localizing pitfalls of anisocoria--Horner and Raeder syndromes, physiologic anisocoria, pupil-involving third nerve palsy, and benign pupillary dilation--are discussed.",2002,Current opinion in ophthalmology,Curr Opin Ophthalmol,Lepore FE,"Lepore, Frederick E",Lepore FE,"Department of Neurology, UMDNJ/Robert Wood Johnson Medical School, 97 Paterson Street, New Brunswick, NJ 08901, USA. leporefe@umdnj.edu",Brain Diseases/*complications/diagnosis/physiopathology; Diagnostic Errors; Humans; Intracranial Pressure; *Neurology; *Ophthalmology; Optic Nerve Diseases/*etiology; Vision Disorders/etiology,,Brain Diseases; Diagnostic Errors; Humans; Intracranial Pressure; Neurology; Ophthalmology; Optic Nerve Diseases; Vision Disorders,Journal Article; Review,10.1097/00055735-200212000-00005,13,6,1040-8738 (Print); 1040-8738 (Linking),371-4,PubMed,
32924623,"Chameleons, red herrings, and false localizing signs in neurocritical care.","False localizing signs (FLS) and other misleading neurological signs have long been an intractable aspect of neurocritical care. Because they suggest an incorrect location or etiology of the pathological lesion, they have often led to misdiagnosis and mismanagement of the patient. Here, we reviewed the existing literature to provide an updated, comprehensive descriptive review of these difficult to diagnose signs in neurocritical care. For each sign presented, we discuss the non-false localizing presentation of symptoms, the common FLS or misleading presentation, etiology/pathogenesis of the sign, and diagnosis, as well as any other clinically relevant considerations. Within cranial neuropathies, we cover cranial nerves III, IV, V, VI, VII, VIII, as well as multiple cranial nerve involvement of IX, X, and XII. FLS ophthalmologic symptoms indicate diagnostically challenging neurological deficits, and here we discuss downbeat nystagmus, ping-pong-gaze, one-and-a-half syndrome, and wall-eyed bilateral nuclear ophthalmoplegia (WEBINO). Cranial herniation syndromes are integral to any discussion of FLS and here we cover Kernohan's notch phenomenon, pseudo-Dandy Walker malformation, and uncal herniation. FLS in the spinal cord have also been relatively well documented, but in addition to compressive lesions, we also discuss newer findings in radiculopathy and disc herniation. Finally, pulmonary syndromes may sometimes be overlooked in discussions of neurological signs but are critically important to recognize and manage in neurocritical care, and here we discuss Cheyne-Stokes respiration, cluster breathing, central neurogenic hyperventilation, ataxic breathing, Ondine's curse, and hypercapnia. Though some of these signs may be rare, the framework for diagnosing and treating them must continue to evolve with our growing understanding of their etiology and varied presentations.",2022,British journal of neurosurgery,Br J Neurosurg,Li B; Sursal T; Bowers C; Cole C; Gandhi C; Schmidt M; Mayer S; Al-Mufti F,"Li, Boyi; Sursal, Tolga; Bowers, Christian; Cole, Chad; Gandhi, Chirag; Schmidt, Meic; Mayer, Stephan; Al-Mufti, Fawaz",Li B,"School of Medicine, New York Medical College, Valhalla, NY, USA. | Department of Neurosurgery, Westchester Medical Center, Valhalla, NY, USA. | Department of Neurosurgery, University of New Mexico, Albuquerque, NM, USA. | Department of Neurosurgery, University of New Mexico, Albuquerque, NM, USA. | Department of Neurosurgery, Westchester Medical Center, Valhalla, NY, USA. | Department of Neurosurgery, University of New Mexico, Albuquerque, NM, USA. | Department of Neurosurgery, Westchester Medical Center, Valhalla, NY, USA. | Department of Neurosurgery, Westchester Medical Center, Valhalla, NY, USA.",*Cranial Nerve Diseases/diagnosis; Humans; Paralysis; Spinal Cord,Neurointensive care; cranial neuropathies; false localizing signs; herniation syndromes; ophthalmologic syndromes,Cranial Nerve Diseases; Humans; Paralysis; Spinal Cord; Neurointensive care; cranial neuropathies; false localizing signs; herniation syndromes; ophthalmologic syndromes,Journal Article; Review,10.1080/02688697.2020.1820945,36,3,1360-046X (Electronic); 0268-8697 (Linking),298-306,PubMed,
33347647,Pyramidal weakness: Is it time to retire the term?,"Pyramidal weakness, that is, the weakness that preferentially spares the antigravity muscles, is considered an integral part of the upper motor neuron syndrome. Despite its name, pyramidal weakness has very little to do with the pyramidal tract, and preeminent texts on neurology, neuroanatomy, and clinical examination differ considerably in their descriptions and localization of this enigmatic finding. Evidence from human and nonhuman primate studies demonstrates that lesions confined only to the corticospinal (pyramidal) tract cause significant deficits in fine motor control of the hand, but do not cause posturing or patterned weakness of the extremities. Lesioning of the corticofugal fibers, particularly the corticoreticular and corticopontine tracts, leads to dysbalanced output from reticulospinal, and vestibulospinal systems, which along with changes in rubrospinal tract output balance, probably accounts for the pyramidal weakness pattern. Importantly, this would delineate that pyramidal weakness could only be incited by lesions above the brainstem. It has also been suggested that the inherently greater strength of the antigravity musculature is the substrate for pyramidal weakness, independent of any preferential motor innervation. These hypotheses require further testing in myometric studies with carefully selected participants.",2021,"Clinical anatomy (New York, N.Y.)",Clin Anat,Castle-Kirszbaum M; Goldschlager T,"Castle-Kirszbaum, Mendel; Goldschlager, Tony",Castle-Kirszbaum M,"Department of Neurosurgery, Monash Health, Melbourne, Australia. | Department of Neurosurgery, Monash Health, Melbourne, Australia. | Department of Surgery, Monash University, Melbourne, Australia.",Humans; Motor Neuron Disease/*physiopathology; Muscle Weakness/*physiopathology; *Terminology as Topic,corticospinal tract; false localizing signs; pyramidal weakness,Humans; Motor Neuron Disease; Muscle Weakness; Terminology as Topic; corticospinal tract; false localizing signs; pyramidal weakness,Journal Article; Review,10.1002/ca.23715,34,3,1098-2353 (Electronic); 0897-3806 (Linking),478-482,PubMed,
27781487,Kernohan-Woltman notch phenomenon: a review article.,"Kernohan-Woltman notch phenomenon (KWNP) is a false localising sign which may still cause diagnostic confusion. It was first described by Kernohan and Woltman in 1929, through post-mortem studies on 297 patients following cases of false localisation. They proposed that raised intracranial pressure causes uncal herniation, which can compress the contralateral cerebral peduncle against the tough tentorium, manifesting as hemiparesis ipsilateral to the primary brain lesion. A number of case reports have been written since the original description of this phenomenon, primarily secondary to intracranial bleeds, and little has been written about long-term outcome of patients who develop KNWP. We performed a literature search of all published cases of KWNP, and reviewed its clinical, pathophysiological, imaging and neurophysiological characteristics. Furthermore, we summarise the long-term outcomes of these patients as described by case reports, with the aim to improve understanding of rehabilitation potential. Thirty-eight cases were found through a PubMed search. We also included a case from our own Trust, making the total number of cases in the analysis 39. Thirty-six cases were secondary to intracranial bleeds (22 of which were traumatic), the remainder were due to an arachnoid cyst, high grade glioma, and reabsorption bone syndrome. Additional clinical manifestations to hemibrachiocrural syndrome included third nerve palsy, mydriasis of the contralateral and ipsilateral pupils, facial nerve palsies, and parkinsonism. Twenty-six (67%) patients had improvement in motor function of varying degrees, with twelve (31%) patients attaining complete motor recovery or independence. More studies on long-term outcome of patients who develop KWNP are needed to understand rehabilitation potential.",2017,British journal of neurosurgery,Br J Neurosurg,Zhang CH; DeSouza RM; Kho JS; Vundavalli S; Critchley G,"Zhang, C H; DeSouza, R M; Kho, J S B; Vundavalli, S; Critchley, G",Zhang CH,"a Department of Neurosurgery , Royal Sussex County Hospital , Brighton , United Kingdom. | a Department of Neurosurgery , Royal Sussex County Hospital , Brighton , United Kingdom. | b Department of Neuroradiology , Royal Sussex County Hospital , Brighton , United Kingdom. | b Department of Neuroradiology , Royal Sussex County Hospital , Brighton , United Kingdom. | a Department of Neurosurgery , Royal Sussex County Hospital , Brighton , United Kingdom.","Brain Diseases; Brain Neoplasms/*diagnostic imaging/*pathology; False Positive Reactions; Female; Humans; Middle Aged; Neuroimaging; Paresis; Postmortem Changes; Tomography, X-Ray Computed",Kernohan; corticospinal tract; false localisation; neurorehabilitation; transtentorial herniation,"Brain Diseases; Brain Neoplasms; False Positive Reactions; Female; Humans; Middle Aged; Neuroimaging; Paresis; Postmortem Changes; Tomography, X-Ray Computed; Kernohan; corticospinal tract; false localisation; neurorehabilitation; transtentorial herniation",Case Reports; Journal Article; Review,10.1080/02688697.2016.1211250,31,2,1360-046X (Electronic); 0268-8697 (Linking),159-166,PubMed,
38173285,Parkinsonism after uncal herniation-an overlooked false localizing sign?,,2024,Movement disorders clinical practice,Mov Disord Clin Pract,Buijink AWG; de Vries S; Schuurman PR; van Iperen A; Dijk JM,"Buijink, Arthur W G; de Vries, Stefanie; Schuurman, P Richard; van Iperen, Andries; Dijk, Joke M",Buijink AWG,"Department of Neurology, Amsterdam University Medical Center, Amsterdam Neuroscience, University of Amsterdam, Amsterdam, The Netherlands. | Department of Neurology, Amsterdam University Medical Center, Amsterdam Neuroscience, University of Amsterdam, Amsterdam, The Netherlands. | Deptartment of Neurosurgery, Amsterdam University Medical Center, Amsterdam Neuroscience, University of Amsterdam, Amsterdam, The Netherlands. | Daan Theeuwes Center for Intensive Neurorehabilitation, Woerden, The Netherlands. | Department of Neurology, Amsterdam University Medical Center, Amsterdam Neuroscience, University of Amsterdam, Amsterdam, The Netherlands.",Humans; Magnetic Resonance Imaging; *Parkinsonian Disorders/diagnosis/diagnostic imaging,,Humans; Magnetic Resonance Imaging; Parkinsonian Disorders,Case Reports; Journal Article,10.1002/mdc3.13964,11 Suppl 2,Suppl 2,2330-1619 (Electronic); 2330-1619 (Linking),S30-S32,PubMed,
