Gene Symbol,Description,Category,Uniprot ID,Gifts,GC Id,Relevance score, GeneCards Link
"TP53","Tumor Protein P53","Protein Coding","P04637","66","GC17M007661","195.220520019531","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TP53"
"PTEN","Phosphatase And Tensin Homolog","Protein Coding","P60484","65","GC10P112611","182.453231811523","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PTEN"
"RET","Ret Proto-Oncogene","Protein Coding","P07949","67","GC10P044766","159.439086914063","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RET"
"DICER1","Dicer 1, Ribonuclease III","Protein Coding","Q9UPY3","61","GC14M095086","146.364730834961","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DICER1"
"BRAF","B-Raf Proto-Oncogene, Serine/Threonine Kinase","Protein Coding","P15056","67","GC07M140778","142.156234741211","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BRAF"
"CHEK2","Checkpoint Kinase 2","Protein Coding","O96017","67","GC22M028687","132.9423828125","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CHEK2"
"TG","Thyroglobulin","Protein Coding","P01266","58","GC08P132866","132.914947509766","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TG"
"ATM","ATM Serine/Threonine Kinase","Protein Coding","Q13315","66","GC11P108223","131.575927734375","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ATM"
"PIK3CA","Phosphatidylinositol-4,5-Bisphosphate 3-Kinase Catalytic Subunit Alpha","Protein Coding","P42336","66","GC03P179148","130.990783691406","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PIK3CA"
"THRB","Thyroid Hormone Receptor Beta","Protein Coding","P10828","62","GC03M024117","130.084991455078","https://www.genecards.org/cgi-bin/carddisp.pl?gene=THRB"
"BAP1","BRCA1 Associated Protein 1","Protein Coding","Q92560","60","GC03M052401","129.707855224609","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BAP1"
"PALB2","Partner And Localizer Of BRCA2","Protein Coding","Q86YC2","57","GC16M023603","129.143310546875","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PALB2"
"BRCA2","BRCA2 DNA Repair Associated","Protein Coding","P51587","60","GC13P032315","127.312522888184","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BRCA2"
"KIT","KIT Proto-Oncogene, Receptor Tyrosine Kinase","Protein Coding","P10721","66","GC04P054657","124.340309143066","https://www.genecards.org/cgi-bin/carddisp.pl?gene=KIT"
"TPO","Thyroid Peroxidase","Protein Coding","P07202","60","GC02P001374","115.071083068848","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TPO"
"SMARCA4","SWI/SNF Related, Matrix Associated, Actin Dependent Regulator Of Chromatin, Subfamily A, Member 4","Protein Coding","P51532","64","GC19P122306","112.139846801758","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SMARCA4"
"TSHR","Thyroid Stimulating Hormone Receptor","Protein Coding","P16473","61","GC14P080954","111.902297973633","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TSHR"
"WT1","WT1 Transcription Factor","Protein Coding","P19544","61","GC11M032365","111.290344238281","https://www.genecards.org/cgi-bin/carddisp.pl?gene=WT1"
"NKX2-1","NK2 Homeobox 1","Protein Coding","P43699","61","GC14M036516","110.185958862305","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NKX2-1"
"KRAS","KRAS Proto-Oncogene, GTPase","Protein Coding","P01116","66","GC12M031027","110.109664916992","https://www.genecards.org/cgi-bin/carddisp.pl?gene=KRAS"
"HRAS","HRas Proto-Oncogene, GTPase","Protein Coding","P01112","65","GC11M012501","107.89331817627","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HRAS"
"BRIP1","BRCA1 Interacting Helicase 1","Protein Coding","Q9BX63","62","GC17M061679","107.668510437012","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BRIP1"
"BARD1","BRCA1 Associated RING Domain 1","Protein Coding","Q99728","59","GC02M214725","105.82772064209","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BARD1"
"TNF","Tumor Necrosis Factor","Protein Coding","P01375","65","GC06P144764","104.602935791016","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TNF"
"PAX8","Paired Box 8","Protein Coding","Q06710","58","GC02M113215","101.412658691406","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PAX8"
"AKT1","AKT Serine/Threonine Kinase 1","Protein Coding","P31749","66","GC14M104769","99.0187149047852","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AKT1"
"PDGFRA","Platelet Derived Growth Factor Receptor Alpha","Protein Coding","P16234","66","GC04P054229","98.4831619262695","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PDGFRA"
"BRCA1","BRCA1 DNA Repair Associated","Protein Coding","P38398","63","GC17M043044","97.8776473999023","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BRCA1"
