Keyword,Frequency
Neurology,4
"Aged, 80 and over",3
Frontal Lobe,3
Paralysis,6
"Tomography, X-Ray Computed",19
Spinal Cord,7
Hydrocephalus,4
"Dominance, Cerebral",4
Paresis,7
Brain herniation,6
Craniotomy,3
Facial Paralysis,6
Paradoxical hemiparesis,5
Neuroimaging,3
"Nystagmus, Pathologic",3
"Rupture, Spontaneous",3
False localizing sign,26
Brain Neoplasms,21
Cerebral Hemorrhage,5
Cervical Vertebrae,13
Kernohan-Woltman notch phenomenon,17
"Neuroma, Acoustic",3
Retrospective Studies,6
Ipsilateral hemiparesis,7
Brain,9
Cerebrospinal Fluid Leak,8
"Cranial Fossa, Posterior",8
Subdural Effusion,3
Cerebral Peduncle,3
"History, 19th Century",4
Headache,5
"Diagnosis, Differential",21
Papilledema,9
Encephalocele,3
Intracranial Hypertension,4
Hemiparesis,3
Meningioma,13
Hemiplegia,4
"Blood Patch, Epidural",3
Myelography,4
Magnetic Resonance Imaging,29
Intracranial Hypotension,13
Intervertebral Disc Displacement,3
Pseudotumor Cerebri,7
Brain Diseases,7
Intracranial Aneurysm,5
Basilar Artery,3
Abducens Nerve Diseases,6
Diplopia,3
Myelopathy,3
Trigeminal Neuralgia,11
"History, 20th Century",5
Muscle Weakness,3
Physical Examination,3
Radiography,5
Cranial Nerve Diseases,3
Functional Laterality,4
Ipsilateral,3
Subarachnoid Hemorrhage,3
False Positive Reactions,3
Brain Stem,4
Neurologic Examination,6
Pain,3
"Decompression, Surgical",3
Intracranial Pressure,4
"Sinus Thrombosis, Intracranial",3
Neurosurgery,4
Trigeminal Nerve,6
Meningeal Neoplasms,6
Ophthalmoplegia,7
Cerebellopontine Angle,4
Follow-Up Studies,3
Spinal Cord Compression,10
Cerebral Infarction,3
Syndrome,7
