"ONTOLOGY","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"BP","GO:0006816","calcium ion transport","27/74","428/18888",0.0630841121495327,16.1017933821672,19.8194382267949,7.64063479836201e-26,1.29234421541662e-22,7.5934588715963e-23,"596/581/7421/1906/2147/1594/2903/2904/8912/773/779/2902/776/775/777/116443/2906/774/55799/9254/783/785/116444/784/8911/782/93589",27
"BP","GO:0070588","calcium ion transmembrane transport","25/74","334/18888",0.0748502994011976,19.1050331768895,20.9368124377665,1.00610682399114e-25,1.29234421541662e-22,7.5934588715963e-23,"596/581/1906/2147/2903/2904/8912/773/779/2902/776/775/777/116443/2906/774/55799/9254/783/785/116444/784/8911/782/93589",25
"BP","GO:0042391","regulation of membrane potential","22/74","446/18888",0.0493273542600897,12.5904738819537,15.5353625671361,1.14080924748581e-18,9.76912985597013e-16,5.7400717926128e-16,"596/581/1906/2903/2561/2904/8912/2902/776/2563/775/2556/116443/2906/783/785/116444/2558/784/8911/55879/2560",22
"BP","GO:0097553","calcium ion transmembrane import into cytosol","16/74","187/18888",0.0855614973262032,21.8389940742882,17.9606446102465,1.81311916086222e-17,1.16447578106376e-14,6.84213914914847e-15,"596/581/2147/2903/2904/8912/773/779/2902/776/775/777/2906/774/784/8911",16
"BP","GO:1990806","ligand-gated ion channel signaling pathway","8/74","31/18888",0.258064516129032,65.8692240627724,22.6694002113885,2.75898530840737e-13,1.41756665145971e-10,8.32923143632879e-11,"2147/2903/2904/2902/1131/116443/2906/116444",8
"BP","GO:0009410","response to xenobiotic stimulus","17/74","444/18888",0.0382882882882883,9.77282688093499,11.7316816026185,1.01173680326683e-12,4.33191974598747e-10,2.5453167997976e-10,"596/836/1906/1728/3066/1576/1565/1543/952/2903/6095/5563/1571/8856/2902/79001/1429",17
"BP","GO:0098703","calcium ion import across plasma membrane","8/74","42/18888",0.19047619047619,48.6177606177606,19.3749593235755,3.98900460837246e-12,1.28096910486361e-09,7.52662185316594e-10,"8912/773/779/776/775/777/774/8911",8
"BP","GO:1902656","calcium ion import into cytosol","8/74","42/18888",0.19047619047619,48.6177606177606,19.3749593235755,3.98900460837246e-12,1.28096910486361e-09,7.52662185316594e-10,"8912/773/779/776/775/777/774/8911",8
"BP","GO:0071466","cellular response to xenobiotic stimulus","12/74","194/18888",0.0618556701030928,15.7882418500975,12.9844354134839,1.23249664538457e-11,3.23392324609871e-09,1.90016428055379e-09,"1906/1728/1576/1565/1543/6095/5563/1571/8856/2902/79001/1429",12
"BP","GO:0060078","regulation of postsynaptic membrane potential","11/74","148/18888",0.0743243243243243,18.9707815924032,13.7647969913625,1.28608233268979e-11,3.23392324609871e-09,1.90016428055379e-09,"2903/2561/2904/2902/2563/2556/116443/2906/116444/2558/2560",11
"BP","GO:1904062","regulation of monoatomic cation transmembrane transport","14/74","309/18888",0.0453074433656958,11.5644187877198,11.7427674792505,1.384708279762e-11,3.23392324609871e-09,1.90016428055379e-09,"596/581/1906/2147/2903/2904/2902/776/775/2906/783/785/784/782",14
"BP","GO:0070509","calcium ion import","9/74","83/18888",0.108433734939759,27.6769781830023,15.275512541346,3.43057326239099e-11,7.3442855925687e-09,4.31530005111287e-09,"8912/773/779/776/775/777/774/783/8911",9
"BP","GO:0048545","response to steroid hormone","14/74","338/18888",0.0414201183431953,10.5722053414361,11.1366656123072,4.57323754240478e-11,9.03742095879836e-09,5.31013978607972e-09,"2099/596/7040/367/2100/836/1906/3065/6256/842/5465/10013/952/2560",14
"BP","GO:0034762","regulation of transmembrane transport","16/74","489/18888",0.032719836400818,8.35151716133311,10.3297800774117,5.39654900241164e-11,9.90266741942536e-09,5.81853478906639e-09,"596/581/1906/1612/2147/2903/2904/2902/776/775/1131/2906/783/785/784/782",16
"BP","GO:0006805","xenobiotic metabolic process","10/74","126/18888",0.0793650793650794,20.2574002574003,13.6019177405103,6.0868151566531e-11,1.04246854249612e-08,6.12525819974775e-09,"1728/1576/1565/1543/6095/1571/8856/2902/79001/1429",10
"BP","GO:0034765","regulation of monoatomic ion transmembrane transport","14/74","349/18888",0.0401146131805158,10.238983969643,10.9257322923261,6.98824383561815e-11,1.12204990085644e-08,6.59285635544502e-09,"596/581/1906/2147/2903/2904/2902/776/775/2906/783/785/784/782",14
"BP","GO:0035235","ionotropic glutamate receptor signaling pathway","6/74","22/18888",0.272727272727273,69.6117936117936,20.1942151110868,2.08764370525413e-10,3.15479804635168e-08,1.85367249122874e-08,"2903/2904/2902/116443/2906/116444",6
"BP","GO:0043269","regulation of monoatomic ion transport","15/74","470/18888",0.0319148936170213,8.14606095457159,9.83900522415164,3.30438184441446e-10,4.71608719905598e-08,2.77104302040371e-08,"596/581/1906/2147/2903/2904/2902/776/775/2906/783/785/116444/784/782",15
"BP","GO:0097305","response to alcohol","12/74","259/18888",0.0463320463320463,11.8259417718877,11.0021504066471,3.53916361163534e-10,4.78532174646904e-08,2.81172333467317e-08,"7040/841/1728/5465/3066/10013/2903/5563/5423/2904/2902/116443",12
"BP","GO:0032104","regulation of response to extracellular stimulus","6/74","28/18888",0.214285714285714,54.6949806949807,17.8319419725096,1.03473792017467e-09,1.26582938901367e-07,7.43766505027805e-08,"596/581/7421/6256/5465/1594",6
"BP","GO:0032107","regulation of response to nutrient levels","6/74","28/18888",0.214285714285714,54.6949806949807,17.8319419725096,1.03473792017467e-09,1.26582938901367e-07,7.43766505027805e-08,"596/581/7421/6256/5465/1594",6
"BP","GO:0045471","response to ethanol","9/74","122/18888",0.0737704918032787,18.8294195835179,12.390477544912,1.12764232609533e-09,1.31677869806314e-07,7.73702916564933e-08,"841/1728/5465/3066/2903/5423/2904/2902/116443",9
"BP","GO:0007214","gamma-aminobutyric acid signaling pathway","6/74","29/18888",0.206896551724138,52.8089468779124,17.5106074959168,1.3006439023016e-09,1.452762689136e-07,8.53603366544846e-08,"2561/2563/2556/785/2558/2560",6
"BP","GO:0030522","intracellular receptor signaling pathway","13/74","369/18888",0.035230352303523,8.99230938255328,9.7237432834401,1.7466267537458e-09,1.8696183876554e-07,1.09853630038223e-07,"7068/2099/367/2100/7421/3065/6256/5465/10013/1594/6095/8856/9970",13
"BP","GO:0051924","regulation of calcium ion transport","11/74","247/18888",0.0445344129554656,11.3671079986869,10.2855679203646,3.09682691917108e-09,3.1822993421402e-07,1.8698314956174e-07,"596/581/2147/2902/776/775/783/785/116444/784/782",11
"BP","GO:1904019","epithelial cell apoptotic process","9/74","147/18888",0.0612244897959184,15.6271373414231,11.1655059271307,5.88565764299463e-09,5.81548249417431e-07,3.41701743322036e-07,"2099/596/7040/581/836/5054/842/5465/5563",9
