gene_symbol,category,article_associations,suggestion
ANNOTATION,技术术语/工具名,1,此为技术/工具名称，非基因符号，应从基因表中删除
CP,疾病/临床术语,2,此为疾病/临床术语，非基因符号，应从基因表中删除
CPPS,疾病/临床术语,1,此为疾病/临床术语，非基因符号，应从基因表中删除
CYTOSCAPE,技术术语/工具名,4,此为技术/工具名称，非基因符号，应从基因表中删除
DATABASE,技术术语/工具名,1,此为技术/工具名称，非基因符号，应从基因表中删除
DISGENET,技术术语/工具名,2,此为技术/工具名称，非基因符号，应从基因表中删除
GENECARDS,技术术语/工具名,2,此为技术/工具名称，非基因符号，应从基因表中删除
INSIGHTS,普通英文单词误识别,5,此为普通英文单词，非基因符号，应从基因表中删除
MAXIMAL,普通英文单词误识别,1,此为普通英文单词，非基因符号，应从基因表中删除
MCC,非基因缩写/无意义字符,1,此为无意义字符或非基因缩写，应从基因表中删除
OVERLAPPING,普通英文单词误识别,2,此为普通英文单词，非基因符号，应从基因表中删除
PELVIC,疾病/临床术语,2,此为疾病/临床术语，非基因符号，应从基因表中删除
PROSTATITIS,疾病/临床术语,1,此为疾病/临床术语，非基因符号，应从基因表中删除
SUBSTANCE,疾病/临床术语,1,此为疾病/临床术语，非基因符号，应从基因表中删除
SYNDROME,疾病/临床术语,7,此为疾病/临床术语，非基因符号，应从基因表中删除
VENN,普通英文单词误识别,3,此为普通英文单词，非基因符号，应从基因表中删除
VISUALIZATION,技术术语/工具名,1,此为技术/工具名称，非基因符号，应从基因表中删除
A1,非基因缩写/无意义字符,4,此为无意义字符或非基因缩写，应从基因表中删除
A10,非基因缩写/无意义字符,1,此为无意义字符或非基因缩写，应从基因表中删除
A2,非基因缩写/无意义字符,4,此为无意义字符或非基因缩写，应从基因表中删除
C3,非基因缩写/无意义字符,3,此为无意义字符或非基因缩写，应从基因表中删除
MAPK,基因家族/通路名称，非单一基因,17,"建议拆分为具体基因亚型: MAPK1, MAPK3, MAPK8, MAPK9, MAPK14，或在统计中单独标注为""基因家族/通路"""
P38,基因家族/通路名称，非单一基因,8,"建议拆分为具体基因亚型: MAPK14，或在统计中单独标注为""基因家族/通路"""
FET,非基因缩写/无意义字符,1,此为无意义字符或非基因缩写，应从基因表中删除
LUTEAL,普通英文单词误识别,1,此为普通英文单词，非基因符号，应从基因表中删除
WENYANG,普通英文单词误识别,1,此为普通英文单词，非基因符号，应从基因表中删除
AG,非基因缩写/无意义字符,3,此为无意义字符或非基因缩写，应从基因表中删除
ALLEN,普通英文单词误识别,2,此为普通英文单词，非基因符号，应从基因表中删除
ANALGESIC,普通英文单词误识别,2,此为普通英文单词，非基因符号，应从基因表中删除
GG,非基因缩写/无意义字符,1,此为无意义字符或非基因缩写，应从基因表中删除
INFLUENCES,普通英文单词误识别,1,此为普通英文单词，非基因符号，应从基因表中删除
KNEE,疾病/临床术语,5,此为疾病/临床术语，非基因符号，应从基因表中删除
NEUROIMAGING,研究方法/类型术语,1,此为研究方法术语，非基因符号，应从基因表中删除
