Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,env_biome,env_feature,env_material,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Host,Instrument,lat_lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,replicate,create_date,version,Sample Name,SRA Study
SRR7423233,AMPLICON,500,41703500,PRJNA477766,SAMN09479020,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",23461784,FIRST AFFILIATED HOSPITAL OF HARBIN MEDICAL UNIVERSITY,2018-02,public,"run.zq,fastq,sra","gs,s3,ncbi","s3.us-east-1,gs.US,ncbi.public",intestinal,human gut,feces,SRX4294128,China,Asia,China,not applicable,Illumina HiSeq 2500,46 N 126 E,TC28,PAIRED,PCR,OTHER,human gut metagenome,ILLUMINA,2018-06-25T00:00:00Z,replicate68,2018-06-25T14:39:00Z,1,TC28,SRP151288
SRR7423234,AMPLICON,500,44028500,PRJNA477766,SAMN09479009,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",26980892,FIRST AFFILIATED HOSPITAL OF HARBIN MEDICAL UNIVERSITY,2018-01,public,"fastq,sra,run.zq","gs,ncbi,s3","gs.US,s3.us-east-1,ncbi.public",intestinal,human gut,feces,SRX4294127,China,Asia,China,not applicable,Illumina HiSeq 2500,46 N 126 E,TC17,PAIRED,PCR,OTHER,human gut metagenome,ILLUMINA,2018-06-25T00:00:00Z,replicate57,2018-06-25T14:39:00Z,1,TC17,SRP151288
SRR7423235,AMPLICON,500,41511000,PRJNA477766,SAMN09478986,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",23716786,FIRST AFFILIATED HOSPITAL OF HARBIN MEDICAL UNIVERSITY,2017-12,public,"fastq,sra,run.zq","ncbi,s3,gs","gs.US,s3.us-east-1,ncbi.public",intestinal,human gut,feces,SRX4294126,China,Asia,China,not applicable,Illumina HiSeq 2500,46 N 126 E,Control34,PAIRED,PCR,OTHER,human gut metagenome,ILLUMINA,2018-06-25T00:00:00Z,replicate34,2018-06-25T14:39:00Z,1,Control34,SRP151288
SRR7423236,AMPLICON,500,43921500,PRJNA477766,SAMN09478985,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",25030464,FIRST AFFILIATED HOSPITAL OF HARBIN MEDICAL UNIVERSITY,2017-11,public,"run.zq,sra,fastq","s3,gs,ncbi","ncbi.public,gs.US,s3.us-east-1",intestinal,human gut,feces,SRX4294125,China,Asia,China,not applicable,Illumina HiSeq 2500,46 N 126 E,Control33,PAIRED,PCR,OTHER,human gut metagenome,ILLUMINA,2018-06-25T00:00:00Z,replicate33,2018-06-25T14:39:00Z,1,Control33,SRP151288
SRR7423237,AMPLICON,500,46792500,PRJNA477766,SAMN09478988,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",26246708,FIRST AFFILIATED HOSPITAL OF HARBIN MEDICAL UNIVERSITY,2017-12,public,"sra,run.zq,fastq","ncbi,gs,s3","gs.US,ncbi.public,s3.us-east-1",intestinal,human gut,feces,SRX4294124,China,Asia,China,not applicable,Illumina HiSeq 2500,46 N 126 E,Control36,PAIRED,PCR,OTHER,human gut metagenome,ILLUMINA,2018-06-25T00:00:00Z,replicate36,2018-06-25T14:39:00Z,1,Control36,SRP151288
SRR7423238,AMPLICON,500,42260500,PRJNA477766,SAMN09478987,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",24041989,FIRST AFFILIATED HOSPITAL OF HARBIN MEDICAL UNIVERSITY,2017-12,public,"sra,fastq,run.zq","gs,ncbi,s3","s3.us-east-1,gs.US,ncbi.public",intestinal,human gut,feces,SRX4294123,China,Asia,China,not applicable,Illumina HiSeq 2500,46 N 126 E,Control35,PAIRED,PCR,OTHER,human gut metagenome,ILLUMINA,2018-06-25T00:00:00Z,replicate35,2018-06-25T14:39:00Z,1,Control35,SRP151288
SRR7423239,AMPLICON,500,47974000,PRJNA477766,SAMN09478990,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",26912924,FIRST AFFILIATED HOSPITAL OF HARBIN MEDICAL UNIVERSITY,2017-12,public,"sra,fastq,run.zq","gs,ncbi,s3","s3.us-east-1,gs.US,ncbi.public",intestinal,human gut,feces,SRX4294122,China,Asia,China,not applicable,Illumina HiSeq 2500,46 N 126 E,Control38,PAIRED,PCR,OTHER,human gut metagenome,ILLUMINA,2018-06-25T00:00:00Z,replicate38,2018-06-25T14:39:00Z,1,Control38,SRP151288
SRR7423240,AMPLICON,500,46292500,PRJNA477766,SAMN09478989,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",25888101,FIRST AFFILIATED HOSPITAL OF HARBIN MEDICAL UNIVERSITY,2017-12,public,"run.zq,fastq,sra","ncbi,gs,s3","s3.us-east-1,gs.US,ncbi.public",intestinal,human gut,feces,SRX4294121,China,Asia,China,not applicable,Illumina HiSeq 2500,46 N 126 E,Control37,PAIRED,PCR,OTHER,human gut metagenome,ILLUMINA,2018-06-25T00:00:00Z,replicate37,2018-06-25T14:39:00Z,1,Control37,SRP151288
SRR7423241,AMPLICON,500,48928000,PRJNA477766,SAMN09478984,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",27688845,FIRST AFFILIATED HOSPITAL OF HARBIN MEDICAL UNIVERSITY,2017-11,public,"sra,fastq,run.zq","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.US",intestinal,human gut,feces,SRX4294120,China,Asia,China,not applicable,Illumina HiSeq 2500,46 N 126 E,Control32,PAIRED,PCR,OTHER,human gut metagenome,ILLUMINA,2018-06-25T00:00:00Z,replicate32,2018-06-25T14:39:00Z,1,Control32,SRP151288
SRR7423242,AMPLICON,500,42594500,PRJNA477766,SAMN09478983,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",24129658,FIRST AFFILIATED HOSPITAL OF HARBIN MEDICAL UNIVERSITY,2017-11,public,"run.zq,fastq,sra","ncbi,s3,gs","ncbi.public,gs.US,s3.us-east-1",intestinal,human gut,feces,SRX4294119,China,Asia,China,not applicable,Illumina HiSeq 2500,46 N 126 E,Control31,PAIRED,PCR,OTHER,human gut metagenome,ILLUMINA,2018-06-25T00:00:00Z,replicate31,2018-06-25T14:39:00Z,1,Control31,SRP151288
