"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","Type"
"Human Diseases","Cardiovascular disease","hsa05417","Lipid and atherosclerosis","87/724","216/8859",0.402777777777778,4.92846454880295,17.4371618985214,9.94682293887434e-40,3.24266427807304e-37,1.01562297375875e-37,"7157/5290/7124/207/3569/355/6774/596/5468/356/3553/6714/841/4790/5594/3576/4318/581/836/5295/8795/3725/3383/5970/3717/6347/4792/4780/598/959/2932/3320/5747/5595/7099/1432/7097/5599/5293/4312/6256/5578/842/7412/5879/4067/2353/5291/3309/4314/6401/948/5602/114548/3308/6416/4846/3949/1649/7494/1147/2919/335/1543/19/834/840/6257/6403/3329/4217/29110/1548/468/1965/6258/653361/1559/2920/1555/7436/1558/801/23643/337/815/816",87,"XKC"
"Human Diseases","Endocrine and metabolic disease","hsa04933","AGE-RAGE signaling pathway in diabetic complications","54/724","101/8859",0.534653465346535,6.54212023412286,16.7106176468369,1.1675834821244e-32,1.90316107586278e-30,5.96082093505617e-31,"5290/7124/207/595/3569/6774/596/7040/7422/3553/1019/6772/4790/5594/3576/581/4313/836/5295/3725/3383/5970/3552/3717/6347/2335/5595/1432/1277/4088/5599/5580/5293/5054/1906/5578/7412/5879/5291/2152/7056/6777/6401/5602/1958/4846/6776/5292/50507/5579/5590/5581/183/185",54,"XKC"
"Human Diseases","Cardiovascular disease","hsa05418","Fluid shear stress and atherosclerosis","62/724","141/8859",0.439716312056738,5.3804513929705,15.6414975878491,4.6793546762275e-31,5.08489874816722e-29,1.59262246875111e-29,"7157/5290/7124/207/1499/3458/596/7422/3553/6714/4790/4318/3791/4313/5295/3725/3383/5970/3552/6347/4780/3320/5747/9817/1432/857/5599/5293/1906/7412/5879/2353/2950/5291/5327/7056/2944/6401/5602/1728/6416/2952/4846/1514/3685/3162/1147/3690/5175/7295/4217/5562/5590/659/5563/653361/2947/801/2938/2946/2939/653689",62,"XKC"
"Human Diseases","Cancer: specific types","hsa05215","Prostate cancer","49/724","98/8859",0.5,6.11809392265193,15.198572221066,6.0718062626463e-28,4.94852210405673e-26,1.54990844072813e-26,"7157/5728/5290/207/1499/1956/4193/2064/5925/595/1026/2260/596/2475/367/5604/4790/5594/5894/3480/4318/1950/5295/3630/5970/1387/4792/2932/3320/5595/1385/1017/898/6935/5293/842/1869/2078/5328/2950/5291/5327/4314/51176/1147/4824/6716/1870/468",49,"XKC"
"Human Diseases","Infectious disease: viral","hsa05161","Hepatitis B","61/724","163/8859",0.374233128834356,4.57918686235298,13.7586794239603,6.29363203112631e-26,4.10344808429435e-24,1.28522590951421e-24,"7157/5290/7124/207/5925/3569/355/4609/1026/6774/596/7040/356/6714/5604/6772/841/4790/5594/5894/3576/4318/581/836/5295/3725/5970/1387/3717/4792/5595/7099/1432/1385/1017/7097/5111/898/4088/5599/5293/5578/842/1869/2353/5291/6777/5602/3718/6416/1147/6776/2185/6775/5579/29110/1386/1870/468/2002/7534",61,"XKC"
"Human Diseases","Cancer: overview","hsa05208","Chemical carcinogenesis - reactive oxygen species","72/724","226/8859",0.31858407079646,3.89825453478707,13.1664354899204,1.92402594706165e-25,1.00992261173528e-23,3.16314153497973e-24,"5728/5290/207/1956/4233/3091/7422/6714/5604/4790/5594/5894/5781/1950/5295/3725/3082/5970/4792/4780/5747/5595/9817/1432/5599/5580/5293/5879/2353/5291/2944/5602/6647/1728/6416/2952/1545/196/3162/1147/1543/847/50507/4217/52/9377/5770/1544/1571/8644/653361/4025/5338/2947/2053/10327/5337/2938/873/1327/1646/2946/7384/1340/1329/1345/2939/1346/1351/1350/1349/653689",72,"XKC"
"Human Diseases","Cancer: overview","hsa05207","Chemical carcinogenesis - receptor activation","70/724","215/8859",0.325581395348837,3.98387511242452,13.2129817592976,2.16854548532115e-25,1.00992261173528e-23,3.16314153497973e-24,"5290/207/1956/5925/595/2099/4609/6774/596/2475/7422/367/6714/5604/4790/5594/5894/2100/1950/5295/3725/5970/3717/2247/3320/5595/1385/5293/7421/6256/5578/1869/331/6198/2353/5291/2944/6777/2952/5465/1576/1545/196/6776/1543/6257/5579/1386/54658/468/6258/1544/9970/773/779/1555/6197/2947/776/775/1139/2053/2938/54600/774/54659/2946/2939/89832/653689",70,"XKC"
"Human Diseases","Endocrine and metabolic disease","hsa04936","Alcoholic liver disease","56/724","144/8859",0.388888888888889,4.75851749539595,13.5650834225689,7.4286653382561e-25,3.02718112533936e-23,9.48132286593213e-24,"7124/207/1499/595/3569/355/356/3553/841/4790/3576/836/5970/4792/3605/2932/7099/1432/9370/5599/23411/2194/5602/6416/5465/51176/1147/10891/2919/718/6720/50507/4217/29110/5562/5563/23765/1571/223/720/1374/6319/5564/217/2920/713/717/714/128/23643/727/721/126/1375/125/100293534",56,"XKC"
"Organismal Systems","Immune system","hsa04657","IL-17 signaling pathway","45/724","95/8859",0.473684210526316,5.79608897935446,14.0202640308187,1.76559730744587e-24,6.39538580252614e-23,2.00307530786256e-23,"7124/3569/3458/3553/841/4790/5594/3576/4318/3565/836/5743/3725/5970/6347/4792/3605/2932/3320/5595/1432/1437/3627/1440/5599/4312/2353/4314/3567/5602/4322/1147/2919/1994/4586/3934/6279/6280/29110/1051/3727/23765/8061/6278/2920",45,"XKC"
"Environmental Information Processing","Signal transduction","hsa04066","HIF-1 signaling pathway","48/724","109/8859",0.440366972477064,5.38841299609712,13.7522911245163,2.76615814787318e-24,8.19788687460596e-23,2.56763005113587e-23,"5290/207/1956/2064/3569/3458/1026/6774/596/2475/3091/7422/5604/4790/5594/3480/1950/5295/3630/5970/1387/3643/5595/7099/6513/4843/5293/5054/1906/5578/2597/6198/5291/2023/7037/7018/4846/3162/54583/3939/1977/5579/3099/226/8569/815/2872/816",48,"XKC"
